Company Name,Industry,Symbol,Series,ISIN Code
Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE,EQ,INE002A01018
Tata Consultancy Services Ltd.,Information Technology,TCS,EQ,INE467B01029
HDFC Bank Ltd.,Financial Services,HDFCBANK,EQ,INE040A01034
Infosys Ltd.,Information Technology,INFY,EQ,INE009A01021
ICICI Bank Ltd.,Financial Services,ICICIBANK,EQ,INE090A01021
State Bank of India,Financial Services,SBIN,EQ,INE062A01020
ITC Ltd.,Fast Moving Consumer Goods,ITC,EQ,INE154A01025
Larsen & Toubro Ltd.,Construction,LT,EQ,INE018A01030
Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR,EQ,INE030A01027
Axis Bank Ltd.,Financial Services,AXISBANK,EQ,INE238A01034
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,EQ,INE397D01024
Kotak Mahindra Bank Ltd.,Financial Services,KOTAKBANK,EQ,INE237A01028
Bajaj Finance Ltd.,Financial Services,BAJFINANCE,EQ,INE296A01024
Asian Paints Ltd.,Consumer Durables,ASIANPAINT,EQ,INE021A01026
Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI,EQ,INE585B01010
Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA,EQ,INE044A01036
Titan Company Ltd.,Consumer Durables,TITAN,EQ,INE280A01028
Wipro Ltd.,Information Technology,WIPRO,EQ,INE075A01022
Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND,EQ,INE239A01024
Tata Motors Ltd.,Automobile and Auto Components,TATAMOTORS,EQ,INE155A01022
